beer_id,brewer,beer_name,abv
421,Stone Brewing,Scorpion Bowl IPA,7.5
422,Stone Brewing,Vengeful Spirit,7.3
423,Stone Brewing,Ghost Hammer IPA,6.7
424,Stone Brewing,Tangerine Express IPA,6.7
425,Stone Brewing,Go To IPA,4.8
426,Stone Brewing,Delicious IPA,7.7
427,Arbor Brewing Company,Sacred Cow IPA,6.8
428,Ninkasi Brewing Company,Maiden The Shade,6.8
429,Ninkasi Brewing Company,Total Domination IPA,6.7
430,Jackie O's Pub &amp; Brewery,Hop Ryot,6.5
431,Jackie O's Pub &amp; Brewery,Mystic Mama,7
432,Spoetzl Brewery / Shiner,Wicked Ram IPA,6
433,Uinta Brewing Company,Hop Nosh IPA,7.3
434,Uinta Brewing Company,Tangerine Hop Nosh IPA,7.3
435,Smuttynose Brewing Company,Smuttynose Stone Clusters Last Stand,8.3
436,Smuttynose Brewing Company,Smuttynose IPA Finest Kind,6.9
437,Kern River Brewing Company,Just Outstanding IPA,6.8
438,Sierra Nevada Brewing Co.,Northern Hemisphere Harvest Wet Hop IPA,6.7
439,Sierra Nevada Brewing Co.,Estate Homegrown Wet Hop Ale,6.7
440,Sierra Nevada Brewing Co.,Southern Hemisphere Harvest Fresh Hop IPA,6.7
441,Sierra Nevada Brewing Co.,Torpedo Extra IPA,7.2
442,Sierra Nevada Brewing Co.,Tropical Torpedo Tropical IPA,6.7
443,Sierra Nevada Brewing Co.,Five Hop IPA,5.8
444,Sierra Nevada Brewing Co.,Celebration Fresh Hop IPA,6.8
445,Sierra Nevada Brewing Co.,Hop Hunter,6.2
446,Sierra Nevada Brewing Co.,Harvest Wild Hop IPA  Neomexicanus Varietal,6.5
447,Cambridge Brewing Company,Flower Child IPA,6.5
448,Peak Organic Brewing Company,Peak Organic IPA,7.2
449,Port Brewing,High Tide Fresh Hop IPA,6.5
450,Port Brewing,Wipeout IPA,7.5
451,Ale Asylum,Ballistic IPA,7.4
452,Ale Asylum,Velveteen Habit,7.5
453,Starr Hill Brewery,Northern Lights IPA,6.2
454,Voodoo Brewery,Good Vibes,7.3
455,Pizza Port Solana Beach,Swamis IPA,6.8
456,Pizza Port Solana Beach,Ponto SIPA Sessionable India Pale Ale,4.5
457,Appalachian Brewing Company,Hoppy Trails IPA,6
458,Mikkeller ApS,Koppi Coffee IPA,6.9
459,Mikkeller ApS,Green Gold,7
460,Mikkeller ApS,Simcoe Single Hop IPA,6.9
461,Mikkeller ApS,Better Half,6.8
462,Butternuts Beer &amp; Ale,Snapperhead IPA,6.8
463,Rogue Ales,Yellow Snow IPA,6.5
464,Rogue Ales,Cold Brew IPA,7.5
465,Rogue Ales,Rogue Farms 7 Hop IPA,7.77
466,Surly Brewing Company,Overrated West Coast Style IPA,7.3
467,Surly Brewing Company,Wet,6.1
468,Surly Brewing Company,Furious,6.7
469,Surly Brewing Company,Todd The Axe Man,7.2
470,Boulder Beer / Wilderness Pub,Mojo IPA,7.2
471,Laughing Dog Brewing,Laughing Dog Rocket Dog Rye IPA,6.9
472,Captain Lawrence Brewing Co.,Hop Commander IPA,6.5
473,Thirsty Dog Brewing Company,Citra Dog,6.5
474,Founders Brewing Company,All Day IPA,4.7
475,Founders Brewing Company,Centennial IPA,7.2
476,Founders Brewing Company,Harvest Ale,7.6
477,Founders Brewing Company,Azacca IPA,7
478,Otter Creek Brewing,Free Flow IPA,6
479,Saugatuck Brewing Company,Singapore IPA,7.2
480,Minneapolis Town Hall Brewery,Masala Mama India Pale Ale,6
481,Minneapolis Town Hall Brewery,Mango Mama,6
482,Upland Brewing Company,Dragonfly IPA,6
483,Asheville Brewing Company,Shiva IPA,6
484,Goose Island Beer Co.,Rambler IPA,6.7
485,Goose Island Beer Co.,Endless IPA,5
486,Brasserie Dieu du Ciel!,Corne Du Diable,6.5
487,North Coast Brewing Co.,ACME California IPA,6.9
488,Foothills Brewing Company - Downtown Brewpub,Jade IPA,7.4
489,Foothills Brewing Company - Downtown Brewpub,Hoppyum IPA,6.3
490,Nickel Brook Brewing Co.,Headstock IPA,7
491,Lazy Magnolia Brewing Company,Southern Hops’pitality,5.5
492,Flying Monkeys Craft Brewery,Smashbomb Atomic IPA,6
493,Caldera Brewing Company,Hopportunity Knocks,6.8
494,Caldera Brewing Company,Caldera IPA,6.1
495,Millstream Brewing Company,Iowa Pale Ale,5.7
496,Sixpoint Brewery,Bengali,6.6
497,East End Brewing Company,Big Hop,5.8
498,Central City Brewers + Distillers,Red Racer IPA India Pale Ale,6.5
499,Independence Brewing Co.,Stash IPA,7
500,Left Coast Brewing Company,Trestles,6.8
